                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4256,                 1.6338,                 1.6089,                0.82464,                0.75368,                0.82472,                0.44195,                 1.6415,                 1.0653,                  1.656,                0.07018,              0.0033134,              0.0033134
                      1,                  1.229,                 1.0007,                 1.4492,                 0.7083,                0.68477,                0.71979,                0.30298,                  2.115,                 1.2203,                 2.0821,               0.040166,              0.0066335,              0.0066335
                      2,                 1.2413,                 1.0405,                 1.4636,                0.52397,                0.60068,                0.54331,                0.23707,                 2.1035,                 2.1995,                 2.3845,                0.01014,              0.0099405,              0.0099405
                      3,                 1.3496,                 1.1914,                 1.5478,                0.64592,                  0.509,                 0.5474,                0.23328,                 2.3746,                 2.0298,                 2.5453,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.3195,                 1.1348,                 1.5217,                0.36477,                0.41102,                0.37418,                0.19622,                 2.4869,                 2.4845,                 2.5489,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.2544,                 1.0654,                 1.4713,                0.43727,                 0.4511,                0.41878,                0.18479,                 2.2306,                 2.0781,                  2.434,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.2032,                  1.005,                 1.4351,                0.68385,                0.37418,                0.38796,                0.20163,                 2.1552,                   2.57,                 2.3139,               0.009901,               0.009901,               0.009901
                      7,                 1.1777,                0.94501,                 1.4134,                0.69119,                0.64926,                0.69613,                0.34246,                 1.8089,                 1.3651,                 1.9694,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.1297,                0.90128,                  1.382,                0.72482,                0.68821,                0.71947,                0.33225,                 1.9191,                 1.3602,                 2.0553,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.0957,                0.87403,                 1.3613,                 0.6759,                0.61549,                0.64199,                0.32635,                  1.792,                 1.4477,                 1.9647,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.0619,                  0.809,                 1.3356,                0.75101,                0.69542,                0.70825,                0.34224,                 1.8167,                 1.1791,                 1.9722,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.0405,                  0.802,                 1.3225,                0.77719,                0.70421,                0.76171,                0.38201,                 1.7358,                 1.1775,                 1.9109,               0.009802,               0.009802,               0.009802
                     12,                 1.0197,                0.77718,                 1.2993,                0.62375,                0.51883,                0.54001,                0.30232,                 1.9187,                 1.9542,                 2.0991,              0.0097822,              0.0097822,              0.0097822
                     13,                 0.9999,                0.75372,                 1.2884,                0.73961,                0.62595,                0.66564,                0.35127,                 1.8624,                 1.3811,                 2.0424,              0.0097624,              0.0097624,              0.0097624
                     14,                0.97826,                0.74498,                 1.2808,                0.68861,                0.57297,                0.64524,                0.37038,                 1.6419,                 1.4174,                  1.825,              0.0097426,              0.0097426,              0.0097426
                     15,                0.95086,                  0.709,                 1.2549,                0.80358,                0.67975,                0.76205,                0.43802,                 1.5808,                 1.1026,                 1.7586,              0.0097228,              0.0097228,              0.0097228
                     16,                0.94588,                0.71043,                 1.2546,                0.80802,                0.63302,                0.71874,                0.39982,                 1.6524,                 1.2856,                  1.809,               0.009703,               0.009703,               0.009703
                     17,                0.91895,                0.68068,                 1.2363,                0.76545,                0.44404,                0.55391,                0.31381,                 1.8844,                 2.0482,                 2.0149,              0.0096832,              0.0096832,              0.0096832
                     18,                0.90554,                0.66795,                 1.2242,                 0.7771,                0.65353,                0.72855,                0.41674,                 1.6353,                 1.1916,                 1.8067,              0.0096634,              0.0096634,              0.0096634
                     19,                0.89235,                0.66195,                 1.2228,                0.79066,                0.67052,                0.72662,                0.37515,                 1.8072,                 1.1554,                 1.9896,              0.0096436,              0.0096436,              0.0096436
                     20,                0.87863,                0.63656,                 1.2011,                0.82778,                0.60122,                0.70059,                0.38345,                 1.7435,                 1.4474,                 1.9422,              0.0096238,              0.0096238,              0.0096238
                     21,                0.87078,                0.63112,                 1.2026,                0.65663,                0.58259,                0.63138,                0.35453,                 1.8505,                 1.6889,                 2.0152,               0.009604,               0.009604,               0.009604
                     22,                 0.8598,                0.61679,                 1.1967,                0.72844,                0.60555,                0.67588,                0.41751,                 1.6447,                 1.4414,                 1.8379,              0.0095842,              0.0095842,              0.0095842
                     23,                0.84606,                0.61016,                 1.1878,                0.76701,                0.63076,                0.68747,                0.39237,                 1.7059,                 1.3463,                 1.8951,              0.0095644,              0.0095644,              0.0095644
                     24,                0.84538,                0.61285,                 1.1875,                0.77724,                0.69376,                0.75588,                0.43872,                 1.6123,                 1.0847,                 1.8173,              0.0095446,              0.0095446,              0.0095446
                     25,                0.83512,                0.58731,                 1.1765,                0.76936,                0.61492,                0.69933,                0.37753,                 1.7738,                 1.2644,                 2.0029,              0.0095248,              0.0095248,              0.0095248
                     26,                0.81317,                0.57979,                  1.166,                0.71191,                0.57218,                0.63407,                0.36054,                 1.6731,                 1.3483,                 1.8664,               0.009505,               0.009505,               0.009505
                     27,                0.82037,                0.59048,                 1.1733,                0.75135,                0.63898,                0.70813,                0.39478,                 1.6882,                 1.3231,                 1.8774,              0.0094852,              0.0094852,              0.0094852
                     28,                0.80941,                0.58093,                 1.1639,                0.73833,                0.66105,                 0.7171,                0.42257,                 1.5885,                  1.227,                  1.801,              0.0094654,              0.0094654,              0.0094654
                     29,                0.80656,                0.57928,                 1.1596,                0.68277,                0.62331,                0.65336,                0.37572,                 1.6716,                 1.3048,                 1.8783,              0.0094456,              0.0094456,              0.0094456
                     30,                0.79167,                0.57092,                 1.1574,                0.73067,                0.65366,                0.71054,                0.42311,                 1.6084,                 1.2404,                 1.8054,              0.0094258,              0.0094258,              0.0094258
                     31,                 0.7836,                0.56148,                  1.145,                0.73751,                 0.5896,                0.65277,                0.38267,                 1.6551,                 1.4152,                 1.8209,               0.009406,               0.009406,               0.009406
                     32,                  0.762,                0.54451,                 1.1305,                 0.7918,                0.56296,                0.67046,                  0.411,                 1.5866,                 1.5451,                  1.786,              0.0093862,              0.0093862,              0.0093862
                     33,                0.75934,                0.53571,                 1.1385,                 0.7412,                0.55851,                0.63167,                0.40195,                 1.6417,                 1.6607,                 1.8462,              0.0093664,              0.0093664,              0.0093664
                     34,                0.76102,                0.54534,                 1.1399,                 0.7313,                0.65945,                0.68602,                0.41817,                 1.6766,                 1.2959,                 1.8297,              0.0093466,              0.0093466,              0.0093466
                     35,                0.75463,                0.53118,                 1.1285,                0.78461,                0.65512,                0.71803,                0.43907,                 1.5713,                 1.1838,                 1.7615,              0.0093268,              0.0093268,              0.0093268
                     36,                0.75515,                0.54265,                 1.1302,                0.64169,                0.53401,                0.55498,                0.33655,                 1.7944,                 1.9849,                 1.9933,               0.009307,               0.009307,               0.009307
                     37,                0.73711,                0.51974,                 1.1204,                0.76739,                0.67418,                0.71734,                0.42977,                 1.6084,                 1.0946,                 1.8281,              0.0092872,              0.0092872,              0.0092872
                     38,                0.73244,                0.51441,                 1.1161,                 0.7226,                0.66575,                0.70868,                 0.4346,                 1.5646,                 1.2151,                 1.7899,              0.0092674,              0.0092674,              0.0092674
                     39,                0.72486,                0.52058,                 1.1188,                0.77166,                0.63596,                0.68761,                0.41481,                 1.6362,                 1.2333,                 1.8577,              0.0092476,              0.0092476,              0.0092476
